tweet_text,sentiment
Pak PM survives removal scare,neutral
 but court orders further probe into corruption charge. ,neutral
Supreme Court quashes criminal complaint against cricketer for allegedly depicting himself as on magazine cover.,neutral
Art of Living's fights back over Yamuna floodplain damage,neutral
 livid. ,neutral
FCRA slap on NGO for lobbying...But was it doing so as part of govt campaign? ,neutral
Why doctors,neutral
 pharma companies are opposing names on ,neutral
Why a bicycle and not a CM asked. His officer learnt ground reality -- and  a dip in a river. ,neutral
It's 2017. making law to ban And MHA is sitting on draft. ,neutral
Rivals govts unite to act against sex-determination tests. ,neutral
Haryana peasants demand justice for right to cattle trade. ,neutral
Why schools in Calcutta (and elsewhere) are stunned by imposition plan. ,neutral
Why renamed places in ,neutral
Oooh! the shame,neutral
 the trauma... of driving without the red,neutral
 flashing light. (And paying for parking). ,neutral
Now have to learn to live without that flashing red light. ,neutral
BJP leaders in the dock,neutral
 lose their light,neutral
 naming game,neutral
 and more. Also in epaper. ,neutral
UK Parliament votes by 522 to 13 in favour of early national ,neutral
April 19 1906: Nobel Laureate Pierre Curie was run over by a horse-drawn wagon near the Pont Neuf,neutral
 Paris,neutral
 and killed ,neutral
India to end culture of sirens on cars. ,neutral
From May 1,neutral
 only on vehicles: Gadkari.,neutral
No from now on cars of PM,neutral
 ministers: transport minister Nitin Gadkari after Cabinet meet. ,neutral
44 feared killed as bus falls into River Tons in Nerwa area of district: police. ,neutral
BSF dismisses Constable Tej Bahadur Yadav from service after a court of inquiry. Bad quality food allegations were base,neutral
jawan Tej Bahadur Yadav,neutral
 who took to social media complaining of bad food,neutral
 dismissed from service after inquiry.,neutral
U.S. to review lifting of sanctions on Iran: Tillerson ,neutral
Huge haul of milk-boosting hormone in Calcutta. ,neutral
Good news from it seems are thriving at Valmiki reserve. ,neutral
In Sushil Modi lists property chain. ,neutral
3 queens take centrestage. ,neutral
A peek into FIR against leaders in case. ,neutral
Spurned by mom,neutral
 this baby at Calcutta has died. ,neutral
India may make it illegal for social messaging platforms to share personal data. ,neutral
Why extradition could take ages. ,neutral
March 20. Plus 15 days. Equals...,neutral
KP Nayar on why discrediting military justice system will not help case. ,neutral
Sharad wants Gujarat CM arrested for trying to push making meat a communal issue.  ,neutral
Man shouts at wife in family court. And walks out. ,neutral
Overburdened says it may not be able to hold for college teachers this year. ,neutral
President backs move to make mandatory up to Class X. ,neutral
Nationalist trend spreads-- tightens rules to shield local jobs (and keep out Indians). ,neutral
Visa 'selfie' by CBSE's plans,neutral
 blessing,neutral
 cloud over and more. Also in epaper. ,neutral
Scotland Yard arrests in London,neutral
 but court grants him bail. ,neutral
Liquor baron declared a proclaimed offender,neutral
 on extradition warrant: Scotland Yard.,neutral
British Prime Minister Theresa May says she wants to hold early election on June 8: Reuters,neutral
 quoting BBC ,neutral
Supreme Court seeks govt's response on a plea to frame national policy to promote and ,neutral
JK: Schools  colleges shut down after clashes,neutral
 demands Presidential rule ,neutral
Beetle from grips litchi crop in ,neutral
Supreme Court asks govt to explain why need pre-censorship.  ,neutral
US NSA H.R. to arrive in today; to hold talks with NSA ,neutral
Why you should shun water at beaches. ,neutral
Having lost Kerala bypoll,neutral
 won't have to keep its promise of 'good quality ,neutral
So,neutral
 is -- and not to blame for stipend crisis faced by 4000 scholars? ,neutral
The middleman (or conman) nephew tapped to bribe election commission officials. ,neutral
Can  Air India enforce fines on unruly passengers for ,neutral
Top law advisor backs use of human shield,neutral
 but some veteran generals see breach. ,neutral
Arrest of a conman and bribe charges against nephew churns politics. ,neutral
How cloaked debate in Draupadi's robes. ,neutral
Draupadi and campuses in erupt,neutral
 politics,neutral
 and more. Also in epaper. ,neutral
CBI books 12 leaders in case. ,neutral
Supreme Court summons boss,neutral
 orders sale of slice. ,neutral
SC summons Home Secretaries of West Bengal,neutral
 UP,neutral
 Karnataka,neutral
 Tamil Nadu,neutral
 Bihar  Jharkhand for nice try filling police vacancie,neutral
Manini Chatterjee on why writings are still an indictment of India. ,neutral
Why wants paper trail in elections. ,neutral
Govt to set up panel to study service conditions of paramilitary forces. ,neutral
Amit Roy on an potboiler.  ,neutral
Muslim body lays down code of conduct during divorce,neutral
 but won't ban ,neutral
Modi's call to ensure justice for women facing evil customs.  ,neutral
PM's pitch for sisters,neutral
 board's stand on an potboiler. And more. Also in epaper. ,neutral
Why the always meets this man when he visits eastern India. ,neutral
Secessionists in and the next generation. ,neutral
In 7Days: secessionists,neutral
 tete-a-tete with a former president,neutral
 a dying language,neutral
 and more. ,neutral
Farooq Abdullah wins seat -- with just 4% of total votes. ,neutral
No govt probe yet into video on by army. ,neutral
As learns to follow rules,neutral
 funds for poor students dry up. ,neutral
From panchayat to Parliament seems to be boss Amit Shah's goal. ,neutral
Why the PM may hang out,neutral
 but you should not. ,neutral
A PM who hangs out,neutral
 lotus garden dreams,neutral
 cash lock on JNU students and more. Also in epaper. ,neutral
7 coaches of Meerut-Lucknow Rajya Rani Express derail near Rampur,neutral
 Uttar Pradesh VIDEO: ,neutral
Counting of votes for to Lok Sabha constituency begins.,neutral
What Calcutta is doing to get mom to accept her calf. ,neutral
To stress dress code,neutral
 Mecca issues picture cards. ,neutral
Security on border put at risk by trade. ,neutral
With national body meeting,neutral
 readies stage for 2019. ,neutral
6 features of extended stay in ,neutral
BSP boss is not averse to joining forces with non-BJP parties. ,neutral
Army under fire after alleged tactic in  ,neutral
The untold love story of and Ayesha Mukherjee. ,neutral
Vile tactic in Valley,neutral
 a love story,neutral
 a giraffe spurns its calf,neutral
 Gandhi  Champaran,neutral
 and more. Also in epaper. ,neutral
Man seen tied to army jeep in video from JK identified,neutral
 while the unit involved was PTI,neutral
 quoting officials,neutral
3 arrested in connection with of men on polling day in Budgam on April 9: Police.,neutral
Hijacked Indian Dhow Al-Kausar released ,neutral
Good show by pales next to 329% jump in imports. ,neutral
Transparency in Looking for India's ranking? Start at the bottom. ,neutral
How to stop (and loot) a express with just a coin. ,neutral
States rename roads to duck ban on but top court won't step in till after summer break. ,neutral
Research seats at hit again as regulator tightens rules for guides. ,neutral
How lost its deposit in Rajouri Garden stronghold. ,neutral
In Bengal Trinamool vote share goes up,neutral
 but surges to runner-up slot. ,neutral
